skill_name,category,rating,required_level,importance,direct_experience_score,experience_type,evidence_type
"Architect and maintain solutions","Responsibility","Excellent","Advanced",10,9,"Direct","Story + profile"
"Collaborate with ML engineers","Responsibility","Excellent","Advanced",9,8,"Direct","Profile"
"Lead project initiatives","Responsibility","Excellent","Advanced",9,8,"Direct","Story + profile"
"Define technical stack","Responsibility","Excellent","Advanced",8,8,"Transferable","Story + profile"
"Ensure Security Compliance","Responsibility","Fair","Advanced",8,5,"Transferable","Profile"
"Monitor System Performance","Responsibility","Good","Advanced",8,7,"Transferable","Story + profile"
"Collaborate with product teams","Responsibility","Good","Advanced",8,7,"Transferable","Story + profile"
"Iterate new product offerings","Responsibility","Excellent","Advanced",8,9,"Direct","Story + profile"
"Document software functionality","Responsibility","Good","Advanced",7,6,"Transferable","Profile"
"Automate workflow with operations","Responsibility","Excellent","Intermediate",6,8,"Direct","Story + profile"
"Mentor Junior Engineers","Responsibility","Good","Advanced",6,7,"Direct","Profile"
"Promote engineering best practices","Responsibility","Excellent","Advanced",6,8,"Direct","Story + profile"
"Problem Solving","Soft Skill","Excellent","Advanced",9,9,"Direct","Story + profile"
"Teamwork","Soft Skill","Excellent","Advanced",8,9,"Direct","Story + profile"
"Analytical Thinking","Soft Skill","Excellent","Advanced",8,9,"Direct","Story + profile"
"Cross-functional Collaboration","Soft Skill","Excellent","Advanced",8,8,"Direct","Story + profile"
"Ownership Mindset","Soft Skill","Excellent","Advanced",8,9,"Direct","Story + profile"
"Technical Communication","Soft Skill","Good","Advanced",8,7,"Direct","Story + profile"
"Innovation","Soft Skill","Excellent","Advanced",7,9,"Direct","Story + profile"
"Continuous Learning","Soft Skill","Good","Advanced",7,7,"Direct","Story + profile"
"Client Focus","Soft Skill","Excellent","Intermediate",6,8,"Direct","Story + profile"
"Backend Development","Hard Skill","Excellent","Advanced",10,9,"Direct","Story + profile"
"Software Architecture","Hard Skill","Excellent","Expert",9,8,"Direct","Story + profile"
"Python Programming","Hard Skill","Fair","Advanced",8,5,"Transferable","Profile"
"Java Programming","Hard Skill","Excellent","Advanced",8,8,"Direct","Profile"
"NoSQL Databases","Hard Skill","Good","Intermediate",7,6,"Direct","Story"
"Serverless Architecture","Hard Skill","Good","Advanced",7,6,"Transferable","Profile"
"Amazon Web Services (AWS)","Hard Skill","Good","Advanced",6,7,"Direct","Profile"
"Technical Documentation","Hard Skill","Fair","Advanced",6,5,"Transferable","Profile"
"Continuous Integration/Continuous Deployment (CI/CD)","Hard Skill","Good","Advanced",6,6,"Transferable","Profile"
"Workflow Automation","Hard Skill","Excellent","Expert",6,9,"Direct","Story + profile"
"Machine Learning Integration","Hard Skill","Good","Advanced",6,7,"Direct","Profile"
"DynamoDB","Hard Skill","Fair","Intermediate",6,4,"Transferable","Resume"
"Infrastructure as Code (Terraform)","Hard Skill","Good","Intermediate",5,6,"Direct","Profile"
"SQL Querying and Optimization","Hard Skill","Good","Intermediate",5,6,"Transferable","Profile"
"OpenSearch / Elasticsearch","Hard Skill","Gap","Intermediate",4,3,"Transferable","Resume"
