Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Managing Your Career: Mid-Career,"Many people experience a mid-career crisis, where you show up, do the work, and take home a paycheck. It is difficult to contemplate a change when you feel boxed into a particular job or you are not being recognized for the work that you are doing. How do you pivot and achieve your career goals? Using the identity framework, Valerie Sutton helps you approach your next move strategically. Designed for the mid-career professional with 10 or more years of experience, this course covers a variety of pathways: moving up in your current career; changing roles, industries, or organizations; or even starting your own business. Change starts now. Dive in and learn how to identify what success means for you and your work, and develop a plan to realize your true career goals.",Course,2024-06-12 20:13 UTC,N/A,false,N/A,
How to Say No without Guilt,"<p>Have you ever said yes to a colleague’s request only to feel regret and resentment later? You might ask, “Why do I do this to myself?!” Science suggests that human beings are naturally inclined to say yes. However, saying no can actually improve your relationships and reputation. In this audio-only course, Dr. Vanessa Patrick shares why we struggle to say no–while providing guilt-free approaches for declining requests.
</p><p>
Dr. Vanessa Patrick is an associate dean at the University of Houston and author of <I>The Power of Saying No: The New Science of How to Say No that Puts you in Charge of your Life</i>.
</p><p>
Learn the three competencies of empowered refusal, and discover how to set rules to protect your priorities–and decipher which requests deserve exceptions. Plus, find out how to make refusing even easier with time and technology buffers
</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2025-12-11 14:08 UTC,N/A,false,N/A,
Negotiating Your Job Offer and Salary,"In this course, ex-recruiter and current certified career coach, Emily Liou, prepares you to confidently negotiate your job offer. Watch to set yourself up for success from a mindset and strategy level for all phases: before, during, and after the negotiation process. From a recruiter’s perspective, implement clear steps and phrases to negotiate the best offer package. You’ll also find a real demo to showcase how doable negotiating a salary is, even if it’s your first time!",Course,2025-09-19 13:37 UTC,N/A,false,N/A,
Generative AI Tools for Productivity and Research,"Artificial intelligence is growing rapidly, affecting nearly every industry, and it’s not going anywhere. If you’re feeling overwhelmed by the onslaught of AI tools or just feeling out of the loop with the speedy changes in the AI landscape, check out this course with instructor Wuraola Oyewusi. Wuraola explores a wide range of generative AI tools from text to image, language generation with chatbots (Google Gemini, Microsoft Copilot), research (Elicit AI, Litmaps, SciSpace). She shows you how to write, visualize, extract, parse, search, and distill scientific and academic research content. Learn about getting set up, prompting, finding the right tool, and more, and discover how you can use generative AI tools to improve research productivity.",Course,2025-08-29 14:33 UTC,N/A,false,N/A,
Nano Tips on How to Apologize Authentically with Arti Halai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Arti Halai guides you through the steps of reflection and thought necessary to share an authentic apology in both personal and professional settings.</p><p>
 
This course was created by Arti Halai and CRFT Productions. We are pleased to host this training in our library.
 </p>",Course,2025-12-04 00:23 UTC,2025-12-04 00:23 UTC,false,N/A,
Understanding Gen-Z Communication Styles for Managers,"In a dynamic shift towards understanding the next generation of workplace talent, Dr. Carol Walsh, a seasoned leadership coach, offers a deep dive into the world of Gen Z. This course unravels the intricacies of communicating, leading, and engaging with Gen Z employees. Dr. Walsh explores the generational context that shapes Gen Z's perspectives, how to leverage technology for effective communication, and how to develop strategies for creating an inclusive, feedback-rich culture.",Course,2025-08-29 01:04 UTC,N/A,false,N/A,
How to Collaborate with Your Colleagues to Build Psychological Safety Together,"<p>In today's dynamic work environments, fostering psychological safety is not just a leadership responsibility but a crucial skill for everyone. Erin Shrimpton, a Chartered Organizational Psychologist with expertise in successful culture change, offers a treasure trove of knowledge and actionable insights for building inclusive, learning-oriented, and creatively rich workplaces for everyone. Whether you're a team member, a leader, or an individual contributor, you'll learn five practical strategies to foster psychological safety, driving innovation and inclusivity among your team and wider organization. </p>

<p>For added impact, try taking this course together with your team, implementing a new strategy each month to maximize learning and impact. Everyone can benefit from the principle that positive change happens not because someone does everything, but because everyone does something.</p>

<p>This course was created by CRFT Productions. We are pleased to host this training in our library.</p>",Course,2024-04-16 02:13 UTC,N/A,false,N/A,
Adobe Express Essential Training,"Whether you’re a creative pro, marketer, presenter, or social media manager, Adobe Express can help you deliver consistently great-looking content in a flash with ease. In this course, join instructor Claudia Vergine as she explores the latest version of Adobe Express. Learn how to perform quick, useful actions, edit a template, create a new document, and add compelling animations that you can customize along the way. By the end of this course, you’ll be equipped with skills you need to work with multiple documents at the same time and leverage the power of Adobe Express’ built-in AI capabilities.",Course,2025-05-21 22:12 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483131,Course,2023-06-12 18:23 UTC,N/A,false,N/A,
"Japanese, Part 3: Improving Fluency, Expression, and Writing","<p>In this course, Yuki Sasaki Caldwell—an experienced instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—shows you some additional ways to speak about the past by using the past-tense forms of i-adjectives, and the aizuchi words that will help your conversation move along more smoothly. You’ll also learn about sushi, from the Edo period up to the present day—and why no one could have eaten the sushi of old with chopsticks. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-07-28 14:01 UTC,N/A,false,N/A,
