skill_name,category,rating,required_level,importance,direct_experience_score,experience_type,evidence_type
"Deliver end-to-end solutions","Responsibility","Excellent","",10,10,"Direct","Story + profile"
"Ensure feature reliability","Responsibility","Excellent","",10,10,"Direct","Story + profile"
"Prototype and productionize Al","Responsibility","Excellent","",10,9,"Direct","Story + profile"
"Develop Al features","Responsibility","Excellent","",10,9,"Direct","Story + profile"
"User Feedback Integration","Responsibility","Excellent","",7,9,"Direct","Story + profile"
"Contribute to fullstack work","Responsibility","Excellent","",6,9,"Direct","Story + profile"
"Design for operational constraints","Responsibility","Excellent","",9,9,"Direct","Story + profile"
"Build backend/frontend workflows","Responsibility","Excellent","",10,9,"Direct","Story + profile"
"Al Technical Debt Management","Responsibility","Excellent","",7,9,"Direct","Story + profile"
"Collaborate cross-functionally","Responsibility","Excellent","",9,9,"Direct","Story + profile"
"Build Al capability patterns","Responsibility","Excellent","",8,6,"Direct","Story + profile"
"Stay Current with Al Trends","Responsibility","Excellent","",5,8,"Transferable","Profile"
"Share applied Al practices","Responsibility","Good","",6,7,"Transferable","Story + profile"
"Integrate LLM APIs","Responsibility","Good","",10,7,"Direct","Story + profile"
"Onboarding and Mentoring","Responsibility","Good","",6,7,"Transferable","Profile"
"Ensure privacy and security","Responsibility","Good","",8,7,"Direct","Story"
"Attention to detail","Soft Skill","Excellent","",8,9,"Direct","Story + profile"
"Problem-solving","Soft Skill","Excellent","",8,9,"Direct","Story + profile"
"System-level thinking","Soft Skill","Excellent","",8,9,"Direct","Story + profile"
"Prioritization and time management","Soft Skill","Excellent","",7,9,"Direct","Story + profile"
"Collaboration","Soft Skill","Excellent","",8,9,"Direct","Story + profile"
"Pragmatism","Soft Skill","Excellent","",7,9,"Direct","Story + profile"
"Adaptability","Soft Skill","Excellent","",6,9,"Direct","Story + profile"
"Judgment","Soft Skill","Excellent","",9,9,"Direct","Story + profile"
"User-centric product thinking","Soft Skill","Excellent","",7,8,"Direct","Story + profile"
"Risk assessment and mitigation","Soft Skill","Excellent","",7,8,"Direct","Story + profile"
"Knowledge sharing","Soft Skill","Good","",6,7,"Direct","Profile"
"Effective asynchronous communication","Soft Skill","Good","",8,7,"Direct","Profile"
"Backend Development","Hard Skill","Excellent","",8,9,"Direct","Story + profile"
"Incremental Software Delivery","Hard Skill","Excellent","",8,9,"Direct","Story + profile"
"AI Feature Deployment","Hard Skill","Excellent","",9,9,"Direct","Story + profile"
"AI Reliability Engineering","Hard Skill","Excellent","",9,9,"Direct","Story + profile"
"Large Language Model (LLM) Integration","Hard Skill","Excellent","",9,9,"Direct","Profile"
"Production AI System Design","Hard Skill","Excellent","",9,9,"Direct","Story + profile"
"Fullstack Development","Hard Skill","Excellent","",9,9,"Direct","Story + profile"
"Retrieval-Augmented Generation","Hard Skill","Excellent","",6,8,"Direct","Profile"
"Software Design Patterns","Hard Skill","Excellent","",7,8,"Direct","Story + profile"
"Frontend Development","Hard Skill","Good","",7,7,"Direct","Story + profile"
"AI Observability and Monitoring","Hard Skill","Good","",8,7,"Transferable","Profile"
"Embeddings","Hard Skill","Good","",6,6,"Direct","Profile"
"Privacy and Security Compliance","Hard Skill","Good","",8,6,"Direct","Story + profile"
"Vector Search Techniques","Hard Skill","Fair","",6,5,"Direct","Profile"
"SOC 2 Compliance","Hard Skill","Fair","",5,4,"Transferable","Gap"
