company,website,category_simple,hr_stack_stage,why_plausible_acquirer,evidence_links,source_bucket,priority,research_status,exa_enriched,aviato_enriched,notes,date_added,last_updated,enrichment_date
BetterUp,https://www.betterup.com/,Career coaching,Onboarding; Post-onboarding,"Series E ($628M+, $4.7B valuation) coaching platform aligned with Careerspan's core coaching wedge. BetterUp has strong team pedigree (Alexi Robichaux + top VCs), already does M&A (acquired Impraise, Motive), and distributes to Fortune 500s.",https://venturebeat.com/business/betterup-a-career-and-life-coaching-platform-for-employees-raises-103-million; https://www.unleash.ai/hr-technology/betterup-acquires-two-hr-tech-companies-impraise-and-motive/,coaching,Tier A,notion_synced,yes,yes,Direct coaching + team leadership focus; strong M&A track record; Airbnb/LinkedIn as customers. Coach talent pool directly synergistic with Careerspan.,2026-01-12,2026-01-12,2026-01-12
Phenom,https://www.phenom.com/,ATS,Sourcing; Matching; Onboarding,"Series D ($100M, Microsoft customer). AI-powered talent experience platform (TXM) that drives recruiting outcomes. Strong product synergy: Careerspan's coaching could extend Phenom's candidate engagement & internal mobility.",https://techrseries.com/news/phenom-people-raises-30-million-in-series-c-proving-the-hr-shift-towards-ai-powered-talent-experiences/; https://www.phenom.com/press-release/Phenom-Prepares-Global-Enterprises-for-the-Post-Pandemic-Race-to-Rebuild-the-Talent-Economy-with-one-hundred-Million-Series-D,ats,Tier A,notion_synced,yes,yes,500+ employees; 400+ global enterprise customers (nearly 50 Fortune 500); strong AI/ML focus. Career pathing module would integrate cleanly.,2026-01-12,2026-01-12,2026-01-12
Greenhouse,https://www.greenhouse.com/,ATS,Sourcing; Matching; Vetting,"Acquired by TPG in 2021 (500M investment), rank #1 ATS across enterprise/mid-market (G2 2026). Coaching & readiness module would strengthen hiring outcomes & candidate quality.",https://www.cbinsights.com/company/greenhouse/financials; https://www.greenhouse.com/newsroom/greenhouse-ranked-best-ats-in-the-overall-enterprise-mid-market-and-emea-regional-g2-winter-2026-reports,ats,Tier A,notion_synced,yes,yes,TPG ownership = strong appetite for bolt-on HR acquisitions. 98% user satisfaction. Coachable moments throughout hiring journey.,2026-01-12,2026-01-12,2026-01-12
Lever,https://www.lever.co/,ATS,Sourcing; Matching; Vetting,"Series D ($50M, Apax Digital, $550M valuation 2021), 4,000+ customers (Netflix, Spotify, Atlassian). Talent-first positioning; coaching module could enhance candidate engagement + retention.",https://www.prnewswire.com/news-releases/lever-raises-50-million-in-series-d-funding-to-better-hiring-experiences-301412363.html; https://www.bizjournals.com/sanjose/news/2022/08/08/the-funded-recruiting-lever-acquired-10-years.html,ats,Tier A,notion_synced,yes,yes,Acquired by Apax Digital 2022. Candidate-centric culture aligns with Careerspan team narrative. DEI analytics push = coaching synergy.,2026-01-12,2026-01-12,2026-01-12
Rippling,https://www.rippling.com/,HRIS,Onboarding; Post-onboarding,"Series G ($450M, $13.5B+ valuation), 2M+ employees managed. Broad HR platform with learning + payroll integration. Team-first culture (Parker Conrad founder); coaching module fits post-onboarding retention strategy.",https://www.rippling.com/blog/rippling-raises-250m-in-series-d-funding; https://news.crunchbase.com/startups/rippling-hr-funding-parker-conrad-zenefits/,hris,Tier A,notion_synced,yes,yes,Prolific acquirer (see LinkedIn/Crunchbase). Learning management embedded; coaching could be marketed as 'Rippling People' module for retention/engagement.,2026-01-12,2026-01-12,2026-01-12
Gloat,https://www.gloat.com/,Career platform,Matching; Onboarding; Post-onboarding,"Series D ($90M, Generation Investment Management), internal talent marketplace for 400+ enterprise customers. Coaching + readiness would strengthen career pathing & internal mobility outcomes.",https://techcrunch.com/2022/06/28/gloat-nabs-90m-to-build-ai-powered-internal-jobs-marketplaces/; https://gloat.com/blog/gloat-raises-90-million-series-d-readying-businesses-for-todays-reality-of-work/,career_platform,Tier A,notion_synced,yes,yes,AI-powered; strong generation of thought leaders (Al Gore's firm); Fortune 500 focus. Synthetic talent pipeline (internal) synergizes with Careerspan external pipeline.,2026-01-12,2026-01-12,2026-01-12
Checkr,https://www.checkr.com/,Verification tech,Vetting; Verification,"Series C ($100M, T. Rowe Price), aggressive acquirer (Truework, GoodHire). Background checks + coaching could improve first-day readiness & compliance posture. $4.6B+ valuation.",https://checkr.com/blog/checkr-acquires-truework-expand-consumer-verifications; https://investclub.sv/2021/09/01/checkr-raises-250-million-at-4-6-billion-valuation-for-background-check-industry/,verification,Tier B,notion_synced,yes,yes,"Proven acquirer (recent: Truework 2024, GoodHire). Careerspan could be bundled as pre-hire readiness module.",2026-01-12,2026-01-12,2026-01-12
Workable,https://www.workable.com/,ATS,Sourcing; Matching; Vetting,"Series C ($50M, Zouk Capital), 20,000+ SMB/mid-market customers, $69.5M revenue. SMB ATS that could extend upmarket with coaching module (Careerspan = differentiation).",https://www.balderton.com/news/workable-raises-50m-series-c-to-automate-recruiting-for-smbs/; https://getlatka.com/companies/workable,ats,Tier B,notion_synced,yes,yes,"Athens-based, 2012 founder (Nikos Moraitakis). Strong SMB distribution; Careerspan coaching could be 'SMB hiring premium' upsell.",2026-01-12,2026-01-12,2026-01-12
Guild Education,https://www.guildeducation.com/,Career platform,Onboarding; Post-onboarding,"Series F ($175M, $4.4B valuation, General Catalyst/Bessemer). Education benefits + upskilling for Fortune 1000. Team + coaching synergy: Careerspan could be 'frontline readiness' module.",https://www.prnewswire.com/news-releases/guild-education-helps-the-fortune-1000-prepare-for-the-future-of-work-with-40-million-in-series-c-funding-led-by-felicis-ventures-300686472.html; https://impactalpha.com/guild-education-raises-175-million-to-help-employers-unlock-career-mobility-for-their-employees/,career_platform,Tier A,notion_synced,yes,yes,Acquisition history (Entangled); strong focus on career mobility & upskilling. Careerspan coaching could wrap education benefits with readiness + job search prep.,2026-01-12,2026-01-12,2026-01-12
iCIMS,https://www.icims.com/,ATS/HRIS,Sourcing; Matching; Onboarding; Post-onboarding,"Public company (PE-backed by Apax), market-leading talent cloud platform. Aggressive acquirer (Apli, Jibe, Opening.IO). Coaching module would enhance candidate readiness + retention for their 5K+ enterprise clients.",https://www.icims.com/products/role/human-resource-recruitment-software/; https://brandonhall.com/icims-acquires-apli-to-expand-frontline-hiring-capabilities-at-hr-tech-2025/,ats,Tier A,notion_synced,yes,yes,"PE-backed, proven M&A buyer. Frontline + corporate hiring. Careerspan = readiness layer for high-volume hiring.",2026-01-12,2026-01-12,2026-01-12
