skill_name,category,rating,required_level,importance,direct_experience_score,experience_type,evidence_type
"Backend Development","Hard Skill","Excellent","Advanced",10,9,"Direct","Story + profile"
"Software Architecture","Hard Skill","Excellent","Expert",9,8,"Direct","Story + profile"
"Python Programming","Hard Skill","Fair","Advanced",8,5,"Transferable","Profile"
"Java Programming","Hard Skill","Excellent","Advanced",8,8,"Direct","Profile"
"NoSQL Databases","Hard Skill","Good","Intermediate",7,6,"Direct","Story"
"Serverless Architecture","Hard Skill","Good","Advanced",7,6,"Transferable","Profile"
"Amazon Web Services (AWS)","Hard Skill","Good","Advanced",6,7,"Direct","Profile"
"Technical Documentation","Hard Skill","Fair","Advanced",6,5,"Transferable","Profile"
"Continuous Integration/Continuous Deployment (CI/CD)","Hard Skill","Good","Advanced",6,6,"Transferable","Profile"
"Workflow Automation","Hard Skill","Excellent","Expert",6,9,"Direct","Story + profile"
"Machine Learning Integration","Hard Skill","Good","Advanced",6,7,"Direct","Profile"
"DynamoDB","Hard Skill","Fair","Intermediate",6,4,"Transferable","Resume"
"Infrastructure as Code (Terraform)","Hard Skill","Good","Intermediate",5,6,"Direct","Profile"
"SQL Querying and Optimization","Hard Skill","Good","Intermediate",5,6,"Transferable","Profile"
"OpenSearch / Elasticsearch","Hard Skill","Gap","Intermediate",4,3,"Transferable","Resume"
